id,date,time,created,modified,species name,scientific name,family,species type,species group,number,sex,life stage,activity,method,counting method,related species,related species name,source,location,lat,lng,country division,country,validation status,validator id,validator name,last validation date,accuracy,notes,substrate,is certain,is escape,obscurity,embargo date,external reference,has photos,has sounds,link
266466043,2023-04-02,11:00:00,2023-04-02 00:00:00,2023-04-02 11:10:51.566551,Turkse Tortel,Streptopelia decaocto,Duiven (Columbidae),Soort,Vogels,1,U,onbekend,ter plaatse,onbekend,onbekend,,,ObsIdentify,Gentbrugge (Dg),51.034333,3.760625,Oost-Vlaanderen,België,onbekend,,,,999,,,False,False,0,,,True,False,https://waarnemingen.be/observation/266466043/
269100249,2023-04-26,15:37:00,2023-04-26 00:00:00,2023-04-26 16:19:17.713671,Honingbij,Apis mellifera,Apidae,Soort,"Bijen, wespen en mieren",18,U,onbekend,ter plaatse,onbekend,onbekend,,,ObsMapp,Gentbrugge (Dg),51.037682,3.775782,Oost-Vlaanderen,België,goedgekeurd (automatische validatie),63733,Automatic validation,,3,,,True,False,0,,,False,False,https://waarnemingen.be/observation/269100249/
269100254,2023-04-26,15:32:00,2023-04-26 00:00:00,2023-04-26 16:19:18.622956,Honingbij,Apis mellifera,Apidae,Soort,"Bijen, wespen en mieren",72,U,onbekend,ter plaatse,onbekend,onbekend,,,ObsMapp,Gentbrugge (Dg),51.038246,3.774821,Oost-Vlaanderen,België,goedgekeurd (automatische validatie),63733,Automatic validation,,3,,,True,False,0,,,False,False,https://waarnemingen.be/observation/269100254/
269100261,2023-04-26,15:25:00,2023-04-26 00:00:00,2023-04-26 16:19:20.819259,Honingbij,Apis mellifera,Apidae,Soort,"Bijen, wespen en mieren",37,U,onbekend,ter plaatse,onbekend,onbekend,,,ObsMapp,Gentbrugge (Dg),51.037579,3.773654,Oost-Vlaanderen,België,goedgekeurd (automatische validatie),63733,Automatic validation,,3,,,True,False,0,,,False,False,https://waarnemingen.be/observation/269100261/
269100265,2023-04-26,15:21:00,2023-04-26 00:00:00,2023-04-26 16:19:21.761892,Honingbij,Apis mellifera,Apidae,Soort,"Bijen, wespen en mieren",3,U,onbekend,ter plaatse,onbekend,onbekend,,,ObsMapp,Gentbrugge (Dg),51.037441,3.772345,Oost-Vlaanderen,België,goedgekeurd (automatische validatie),63733,Automatic validation,,3,,,True,False,0,,,False,False,https://waarnemingen.be/observation/269100265/
269100270,2023-04-26,15:15:00,2023-04-26 00:00:00,2023-04-26 16:19:22.378412,Honingbij,Apis mellifera,Apidae,Soort,"Bijen, wespen en mieren",11,U,onbekend,ter plaatse,onbekend,onbekend,,,ObsMapp,Gentbrugge (Dg),51.036991,3.770172,Oost-Vlaanderen,België,goedgekeurd (automatische validatie),63733,Automatic validation,,3,,,True,False,0,,,False,False,https://waarnemingen.be/observation/269100270/
269100274,2023-04-26,15:11:00,2023-04-26 00:00:00,2023-04-26 16:23:47.694633,Honingbij,Apis mellifera,Apidae,Soort,"Bijen, wespen en mieren",28,U,onbekend,ter plaatse,onbekend,onbekend,,,ObsMapp,Gentbrugge (Dg),51.037678,3.770499,Oost-Vlaanderen,België,goedgekeurd (automatische validatie),63733,Automatic validation,,3,,,True,False,0,,,False,False,https://waarnemingen.be/observation/269100274/
269100277,2023-04-26,15:06:00,2023-04-26 00:00:00,2023-04-26 16:19:24.274556,Roodgatje,Andrena haemorrhoa,Andrenidae,Soort,"Bijen, wespen en mieren",1,U,onbekend,ter plaatse,onbekend,onbekend,,,ObsMapp,Gentbrugge (Dg),51.038193,3.769367,Oost-Vlaanderen,België,onbekend,,,,3,,,True,False,0,,,False,False,https://waarnemingen.be/observation/269100277/
269100281,2023-04-26,15:05:00,2023-04-26 00:00:00,2023-04-26 16:19:25.093133,Honingbij,Apis mellifera,Apidae,Soort,"Bijen, wespen en mieren",12,U,onbekend,ter plaatse,onbekend,onbekend,,,ObsMapp,Gentbrugge (Dg),51.0382,3.769363,Oost-Vlaanderen,België,goedgekeurd (automatische validatie),63733,Automatic validation,,3,,,True,False,0,,,False,False,https://waarnemingen.be/observation/269100281/
269100283,2023-04-26,15:00:00,2023-04-26 00:00:00,2023-04-26 16:19:25.963572,Honingbij,Apis mellifera,Apidae,Soort,"Bijen, wespen en mieren",1,U,onbekend,ter plaatse,onbekend,onbekend,,,ObsMapp,Gentbrugge (Dg),51.03841,3.769028,Oost-Vlaanderen,België,goedgekeurd (automatische validatie),63733,Automatic validation,,3,,,True,False,0,,,False,False,https://waarnemingen.be/observation/269100283/
269100286,2023-04-26,15:00:00,2023-04-26 00:00:00,2023-04-26 16:19:26.768143,Honingbij,Apis mellifera,Apidae,Soort,"Bijen, wespen en mieren",2,U,onbekend,ter plaatse,onbekend,onbekend,,,ObsMapp,Gentbrugge (Dg),51.038391,3.769034,Oost-Vlaanderen,België,goedgekeurd (automatische validatie),63733,Automatic validation,,3,,,True,False,0,,,False,False,https://waarnemingen.be/observation/269100286/
269100291,2023-04-02,11:00:00,2023-04-26 00:00:00,2023-04-26 16:19:28.360034,Turkse Tortel,Streptopelia decaocto,Duiven (Columbidae),Soort,Vogels,1,U,onbekend,ter plaatse,onbekend,onbekend,,,ObsMapp,Gentbrugge (Dg),51.034328,3.760602,Oost-Vlaanderen,België,goedgekeurd (automatische validatie),155513,Photo recognition api,,3,,,True,False,0,,,True,False,https://waarnemingen.be/observation/269100291/
